query_id,ground_truth_case_id,ground_truth_nomor_perkara,top_5_case_ids,top_5_nomor_perkara,top_5_similarity_scores,ground_truth_found_at_top_5,ground_truth_rank
query_001,case_028,803/Pid.B/2024/PN Rap,"case_028, case_027, case_016, case_020, case_021","803/Pid.B/2024/PN Rap, 684/Pid.B/2024/PN Rap, 510/Pid.B/2025/PN Rap, 800/Pid.B/2025/PN Rap, 808/Pid.B/2025/PN Rap","0.950426, 0.101912, 0.080085, 0.072508, 0.066469",True,1
query_002,case_016,510/Pid.B/2025/PN Rap,"case_016, case_015, case_009, case_026, case_006","510/Pid.B/2025/PN Rap, 484/Pid.B/2025/PN Rap, 180/Pid.B/2025/PN Rap, 629/Pid.B/2024/PN Rap, 26/Pid.B/2025/PN Rap","0.938313, 0.113305, 0.090625, 0.089413, 0.08833",True,1
query_003,case_024,515/Pid.B/2024/PN Rap,"case_024, case_012, case_009, case_008, case_007","515/Pid.B/2024/PN Rap, 276/Pid.B/2025/PN Rap, 180/Pid.B/2025/PN Rap, 179/Pid.B/2025/PN Rap, 162/Pid.B/2025/PN Rap","0.96597, 0.099202, 0.091698, 0.091563, 0.084045",True,1
query_004,case_018,550/Pid.B/2025/PN Rap,"case_018, case_021, case_014, case_016, case_020","550/Pid.B/2025/PN Rap, 808/Pid.B/2025/PN Rap, 445/Pid.B/2025/PN Rap, 510/Pid.B/2025/PN Rap, 800/Pid.B/2025/PN Rap","0.93933, 0.164208, 0.083221, 0.082682, 0.078449",True,1
query_005,case_009,180/Pid.B/2025/PN Rap,"case_009, case_004, case_008, case_024, case_030","180/Pid.B/2025/PN Rap, 1156/Pid.B/2024/PN Rap, 179/Pid.B/2025/PN Rap, 515/Pid.B/2024/PN Rap, 142/Pid.B/2024/PN Rap","0.938723, 0.121505, 0.102818, 0.099849, 0.09742",True,1
query_006,case_010,216/Pid.B/2025/PN Rap,"case_010, case_015, case_023, case_019, case_022","216/Pid.B/2025/PN Rap, 484/Pid.B/2025/PN Rap, 895/Pid.B/2025/PN Rap, 609/Pid.B/2025/PN Rap, 812/Pid.B/2025/PN Rap","0.93116, 0.092218, 0.080853, 0.07574, 0.073086",True,1
